Date,Time,Location,Operator,Route,Type,Aboard,Fatalities,Summary
01/08/2001,,Near Silimo Indonesia,Military - Tentara Nasional Indonesia Navy,Timika - Jayapura,CASA 212-MP Aviocar 200,9,9,Struck Timika Peak at 11800 ft. shortly after taking off.
01/04/2001,,Zheng Zou AB China,Military - People's Liberation Army,Training,Shaanxi Yunshuji Y-8/Yunshuji Y-8,16,16,Two Antonov 12 planes collided in midair killing all aboard and 6 on the ground.
04/05/2000,09:30,Marianna Florida,Bankair,Opa-Locka - Marianna,Learjet 35A,3,3,While on finals the training flight pitched up the right wing dropped and the airplane struck trees struck wires caught fire on a road. The pilot's failure to maintain control of the airplane while on final approach resulting in the airplane striking trees. Factors in this accident were: improper planning of the approach and not obtaining the proper alignment with the runway.
04/19/2000,,Bukavu DemocratiRepubliCongo,Kivu Air Services,,Cessna 208B Caravan I,2,2,The charter flight crashed in the Kahuzi-Biega National Park.
01/05/2000,,Abuja Nigeria,Skypower Express Airways,Lagos - Abuja,Embraer 110P1A Bandeirante,16,1,During a visual approach the aircraft stalled and pancaked 400 ft. short of the runway.
01/10/2000,17:54,Niederhasli Switzerland,Crossair,Zürich - Dresden,Saab 340B,10,10,The aircraft crashed shortly after taking off 8 km from the airport in light rain. After departing the captain turned the aircraft to the right instead of to the left. The first officer advised the captain he should be turning right and ATC also asked about the direction taken. ATC then cleared the aircraft for a right turn. Soon after the pitch decreased rapidly accompanied by a marked speed increase and plane entered a high speed high-rate spiral descent and crashed into an open field. The flight crew reacted inappropriately to the change in departure clearance SID ZUE 1Y by ATC. The first officer made an entry in the FMS without being instructed to do so by the commander which related to the change to the SID ZUE 1 standard instrument departure. In doing so he omitted to select a turn direction. The captain dispensed with use of the autopilot under instrument flight conditions and during the work-intensive climb phase of the flight. The captain took the aircraft into a spiral dive to the right because with a probability bordering on certainty he had lost spatial orientation. The first officer took only inadequate measures to prevent or recover from the spiral dive.
01/13/2000,12:38,Off Marsa el-Brega Libya,Avisto,Tripoli IAP - Marsa el-Brega,Shorts 360-300,41,22,The aircraft was on a flight from Tripoli to Marsa el-Brega Libya ferrying oil workers. As the twin engine plane approached Marsa El-Brega the crew experienced a double engine failure and ditched into the sea. Failure of the crew to use the anti-icing system which led to the ingestion of melting ice into both engines causing failure of both engines.
01/15/2000,13:10,San Jose Costa Rica,TACA,San Jose - Tortuguero,Let 410UVP-E,20,5,The aircraft was not able to maintain altitude after taking off and crashed into a house. The aircraft was overloaded. Lack of safety instruction to passengers. Flaps not properly selected. Took off with out clearance.
01/25/2000,18:09,Near Ankara Turkey,Top Air - Air Taxi,Ankara - Istanbul,Beechcraft King Air C90,4,4,The aircraft crashed near a pond 25 km from Cubuk 20 minutes after taking off. Failure to use de-icing and poor weather was to blame.
01/30/2000,21:08,Off Abidjan Ivory Coast,Kenya Airways,Abidjan - Lagos,AirbusA310-304,179,169,The aircraft crashed into the AtlantiOcean three minutes after taking off from Felix Houphouet-Boigny Airport.  A few seconds after lifting off the ground the stall warning sounded and continued for about 20 seconds until it was manually turned off by the crew. Three seconds later the plane impacted the water. The pilot's response to an alarm that inaccurately indicated the plane had stalled. The pilot failed to complete established procedure for such an emergency. Takeoff conditions also contributed to the accident which occurred at night hampering the crew's ability to judge the plane's distance from the sea.
04/19/2000,,Pepa Congo,Military - Centrafricain Airlines,Pepa Congo - Kigali Rwanda,Antonov AN-8,24,24,The military flight crashed after losing its engines after striking birdsunable to return to land.
07/02/2000,10:50,Off Cagayancillo Philippines,Military - Philippine Air Force,Cagayancillo - Puerto Princesa,GAF Nomad N-22C,15,14,Engine problems forced the pilot to return to the airport. However he overshot the runway and crashed into the sea. One passenger was rescued by fishermen. Major General Santiago Madrid chief of the southwestern military command killed.
